configuration_id;TARGET_CLASS;criterion;Coverage;Total_Goals;Covered_Goals;Size;Length
EVOSUITE;org.joda.time.DateMidnight;BRANCH;0.9658119658119658;117;113;80;227
EVOSUITE;org.joda.time.DateMidnight;BRANCH;0.9658119658119658;117;113;75;235
EVOSUITE;org.joda.time.DateMidnight;BRANCH;0.9658119658119658;117;113;77;253
EVOSUITE;org.joda.time.DateTime;BRANCH;0.9642857142857143;168;162;123;417
EVOSUITE;org.joda.time.DateTime;BRANCH;0.9583333333333334;168;161;121;377
EVOSUITE;org.joda.time.DateTime;BRANCH;0.9583333333333334;168;161;120;357
EVOSUITE;org.joda.time.DateTimeComparator;BRANCH;0.9074074074074074;54;49;18;48
EVOSUITE;org.joda.time.DateTimeComparator;BRANCH;0.9259259259259259;54;50;20;51
EVOSUITE;org.joda.time.DateTimeComparator;BRANCH;0.9444444444444444;54;51;19;53
EVOSUITE;org.joda.time.DateTimeField;BRANCH;1.0;1;0;0;0
EVOSUITE;org.joda.time.DateTimeField;BRANCH;1.0;1;1;1;4
EVOSUITE;org.joda.time.DateTimeField;BRANCH;1.0;1;1;1;6
EVOSUITE;org.joda.time.DateTimeFieldType;BRANCH;0.5714285714285714;133;76;25;73
EVOSUITE;org.joda.time.DateTimeFieldType;BRANCH;0.5714285714285714;133;75;27;76
EVOSUITE;org.joda.time.DateTimeFieldType;BRANCH;0.5714285714285714;133;76;27;78
EVOSUITE;org.joda.time.DateTimeUtils;BRANCH;0.9298245614035088;57;53;27;50
EVOSUITE;org.joda.time.DateTimeUtils;BRANCH;0.9298245614035088;57;53;27;49
EVOSUITE;org.joda.time.DateTimeUtils;BRANCH;0.9298245614035088;57;53;29;52
EVOSUITE;org.joda.time.DateTimeZone;BRANCH;0.8247422680412371;194;159;56;119
EVOSUITE;org.joda.time.DateTimeZone;BRANCH;0.7938144329896907;194;154;51;107
EVOSUITE;org.joda.time.DateTimeZone;BRANCH;0.8350515463917526;194;162;57;126
EVOSUITE;org.joda.time.Days;BRANCH;0.9846153846153847;65;64;39;144
EVOSUITE;org.joda.time.Days;BRANCH;0.9846153846153847;65;64;39;112
EVOSUITE;org.joda.time.Days;BRANCH;0.9846153846153847;65;64;37;111
EVOSUITE;org.joda.time.Hours;BRANCH;0.9850746268656716;67;66;40;151
EVOSUITE;org.joda.time.Hours;BRANCH;0.9850746268656716;67;66;41;134
